correct,num_prompt_tokens
False,122
True,83
True,145
False,135
True,97
False,227
True,98
True,79
True,190
True,88
True,193
False,161
True,173
True,98
True,76
True,59
False,150
True,186
True,92
True,146
True,108
True,98
True,204
False,213
True,107
True,121
True,155
True,75
False,105
True,111
False,65
True,122
False,164
True,88
True,116
True,110
False,178
True,73
True,116
False,117
True,88
True,153
False,192
True,123
True,140
True,187
False,92
True,200
True,75
True,146
True,123
False,160
True,95
True,78
True,93
False,94
True,69
False,107
False,130
True,76
True,89
True,130
False,113
False,151
True,124
True,93
True,105
True,77
True,106
False,210
True,65
True,161
True,96
True,100
False,114
False,288
True,64
True,196
True,177
False,151
True,70
True,89
True,93
True,146
False,129
False,192
True,107
True,81
True,87
True,101
True,94
True,134
True,56
True,73
True,114
True,139
False,77
True,75
False,101
True,84
True,81
False,99
False,109
True,135
True,120
False,97
True,97
True,92
False,84
True,93
True,143
True,103
True,72
True,91
False,95
True,60
True,99
True,106
False,199
True,146
True,124
True,64
True,155
False,176
False,140
True,129
False,89
True,81
False,145
True,111
True,96
True,62
True,77
True,88
False,100
True,176
False,175
False,88
False,111
True,84
False,144
True,85
False,128
True,112
True,116
True,148
True,229
True,82
True,169
True,105
False,127
True,196
True,108
True,112
True,81
True,101
True,153
True,120
True,125
True,111
True,124
True,103
True,161
True,59
True,105
False,143
False,178
True,94
True,179
True,142
True,106
False,116
True,106
True,173
False,217
True,103
True,104
True,222
True,195
True,85
True,99
True,255
True,115
False,149
True,199
True,123
True,163
False,118
True,90
True,90
True,208
True,159
True,102
False,103
True,80
True,114
True,112
True,120
True,60
True,116
True,171
True,78
True,97
False,125
True,202
True,83
True,113
True,176
True,99
False,107
False,108
True,83
True,149
False,126
True,156
False,123
True,109
False,109
True,111
True,77
True,97
True,116
True,84
False,147
True,180
True,131
True,92
True,165
True,103
False,293
False,166
False,188
True,104
True,117
False,223
True,104
True,106
True,83
False,174
True,160
True,135
False,104
True,98
True,80
True,120
False,217
True,95
True,98
True,73
True,83
True,113
True,89
True,192
True,74
True,192
False,209
True,154
True,81
True,126
True,154
True,143
True,183
True,95
False,79
True,81
True,130
False,68
True,127
True,102
True,80
False,176
True,98
True,111
True,88
True,79
True,119
False,223
True,66
True,92
True,93
True,80
False,118
True,67
False,160
False,211
True,128
True,98
True,117
True,100
False,153
True,92
False,75
False,133
False,106
False,114
True,121
True,143
True,101
True,127
False,168
False,109
True,159
True,116
True,149
False,134
True,122
False,108
True,238
True,190
True,107
True,114
True,69
True,97
False,90
True,122
False,204
False,206
True,117
True,170
True,172
True,72
True,117
True,101
False,121
True,77
True,85
False,62
True,204
True,92
True,167
True,176
True,158
True,68
True,215
True,146
False,118
True,89
True,77
True,89
False,214
False,102
False,236
True,89
True,119
True,81
True,95
True,83
False,159
True,132
True,88
False,97
True,134
True,105
True,103
True,106
True,89
True,100
False,208
False,217
True,98
True,187
False,71
False,217
True,122
False,154
True,107
False,107
False,203
True,107
False,175
True,129
True,205
True,127
True,245
True,74
False,103
True,102
True,77
True,74
True,81
True,77
False,126
True,79
True,205
True,85
True,121
False,185
True,62
True,104
True,117
False,150
False,86
True,90
True,145
True,103
True,80
False,139
True,90
True,143
True,80
True,159
True,73
True,111
True,71
True,104
True,68
True,91
True,84
False,84
True,82
True,155
True,80
True,138
False,133
True,81
True,163
False,183
True,135
True,104
True,141
True,177
False,239
True,186
True,124
False,270
False,137
False,107
True,187
True,100
True,82
True,62
False,94
False,123
True,104
False,235
False,186
True,63
True,207
False,70
False,178
True,143
True,66
True,108
False,75
False,88
True,114
True,98
False,98
True,121
True,100
True,77
True,221
True,104
True,152
True,65
True,165
True,205
False,260
False,94
True,141
False,74
True,96
False,218
True,59
False,111
True,132
False,107
False,124
True,81
True,170
True,107
False,95
True,114
True,84
True,136
False,231
True,81
True,138
False,133
True,101
True,92
True,80
True,83
True,75
True,94
True,109
False,183
False,187
False,164
True,110
True,172
True,125
True,106
True,131
True,98
False,191
True,168
True,150
True,116
True,82
False,195
False,164
True,156
True,222
True,100
True,100
True,84
True,124
False,165
True,84
False,90
True,205
True,124
False,126
True,112
False,82
True,93
True,196
True,91
True,94
True,85
True,104
False,216
False,110
False,93
True,97
False,97
False,83
True,132
True,141
False,80
False,199
False,63
True,113
True,91
True,69
True,175
True,116
True,106
True,90
True,87
False,123
True,128
False,219
True,87
True,168
False,81
True,69
False,198
False,143
True,113
True,211
False,109
False,177
True,114
False,154
False,101
True,124
True,81
True,144
False,101
False,160
True,84
False,167
False,174
True,86
True,102
True,143
True,73
False,94
False,200
True,190
True,156
True,118
True,117
False,99
False,133
True,93
True,72
True,141
True,179
False,92
True,111
True,114
False,150
True,122
True,159
False,183
True,83
True,71
True,139
True,139
True,87
False,158
True,159
False,189
True,127
True,98
True,114
False,131
True,108
False,125
True,235
True,87
True,109
False,165
False,151
False,154
False,95
True,107
False,130
True,78
False,108
True,187
False,97
True,92
True,173
True,98
True,226
True,108
True,176
False,91
True,173
True,160
True,150
True,123
True,129
True,94
True,75
True,129
True,87
True,119
True,109
True,189
True,103
True,80
False,150
True,103
False,144
True,87
True,86
True,84
True,237
True,76
True,114
False,97
True,156
True,134
True,88
True,78
True,97
True,74
False,133
True,100
False,175
True,106
True,111
True,139
True,89
True,121
True,92
True,182
False,92
False,116
False,195
True,104
False,133
False,137
True,76
True,116
True,91
True,63
True,103
True,99
True,80
True,97
True,105
True,100
True,124
True,94
True,100
False,75
True,94
True,133
True,93
True,83
True,136
True,86
True,81
True,134
False,169
True,129
True,92
False,206
True,119
False,150
True,119
True,112
False,189
True,104
True,70
False,89
True,125
False,116
False,101
True,86
False,81
True,144
False,136
True,120
False,102
True,151
True,90
True,77
False,225
True,80
True,64
True,166
False,162
True,143
False,152
True,144
True,219
True,94
True,103
True,88
True,102
True,115
True,73
True,75
True,154
True,114
False,89
False,132
True,105
True,95
True,218
True,151
True,241
True,108
True,91
False,98
False,62
True,68
True,103
False,126
True,87
True,121
True,149
True,117
True,104
True,160
True,196
True,113
True,93
True,134
False,228
False,112
True,70
False,140
False,90
True,82
True,92
True,98
True,80
False,126
True,74
True,89
True,104
True,130
False,99
True,125
True,174
True,88
True,129
True,102
True,78
