correct,num_prompt_tokens
True,296
True,257
True,319
False,309
True,271
True,401
True,272
True,253
True,364
True,262
True,367
False,335
True,347
True,272
True,250
True,233
False,324
True,360
True,266
True,320
True,282
True,272
True,378
True,387
True,281
True,295
True,329
True,249
False,279
True,285
False,239
True,296
False,338
True,262
True,290
True,284
True,352
True,247
True,290
False,291
True,262
False,327
True,366
True,297
True,314
False,361
False,266
False,374
True,249
True,320
False,297
True,334
True,269
True,252
False,267
True,268
True,243
True,281
False,304
True,250
True,263
False,304
False,287
True,325
True,298
True,267
True,279
True,251
True,280
False,384
True,239
True,335
True,270
True,274
True,288
False,462
True,238
True,370
True,351
False,325
True,244
True,263
True,267
True,320
False,303
True,366
True,281
True,255
True,261
True,275
False,268
True,308
True,230
True,247
True,288
True,313
False,251
True,249
True,275
True,258
True,255
False,273
True,283
True,309
True,294
False,271
True,271
True,266
True,258
True,267
True,317
True,277
True,246
True,265
True,269
True,234
True,273
True,280
False,373
True,320
True,298
True,238
True,329
False,350
False,314
True,303
True,263
True,255
True,319
True,285
True,270
True,236
True,251
True,262
True,274
True,350
False,349
False,262
True,285
False,258
False,318
True,259
False,302
True,286
True,290
False,322
True,403
True,256
True,343
True,279
True,301
True,370
True,282
False,286
True,255
True,275
False,327
True,294
True,299
False,285
True,298
True,277
True,335
True,233
True,279
True,317
True,352
True,268
False,353
True,316
True,280
True,290
True,280
True,347
True,391
True,277
True,278
True,396
True,369
True,259
True,273
False,429
True,289
True,323
True,373
True,297
True,337
False,292
False,264
True,264
True,382
True,333
True,276
False,277
True,254
True,288
True,286
True,294
True,234
True,290
True,345
True,252
True,271
True,299
False,376
True,257
True,287
True,350
False,273
False,281
False,282
True,257
False,323
False,300
True,330
False,297
True,283
True,283
True,285
True,251
True,271
True,290
True,258
False,321
True,354
False,305
True,266
True,339
True,277
True,467
False,340
True,362
True,278
True,291
True,397
True,278
True,280
True,257
True,348
True,334
True,309
False,278
True,272
True,254
True,294
True,391
True,269
True,272
True,247
True,257
True,287
True,263
True,366
True,248
True,366
True,383
True,328
True,255
True,300
True,328
True,317
False,357
True,269
True,253
True,255
True,304
True,242
True,301
True,276
True,254
False,350
True,272
True,285
True,262
True,253
True,293
True,397
True,240
True,266
True,267
True,254
False,292
True,241
True,334
False,385
True,302
True,272
True,291
True,274
True,327
False,266
False,249
False,307
False,280
False,288
True,295
True,317
True,275
True,301
False,342
True,283
True,333
True,290
True,323
True,308
True,296
True,282
True,412
True,364
True,281
True,288
True,243
True,271
False,264
True,296
True,378
True,380
True,291
True,344
True,346
True,246
True,291
True,275
False,295
True,251
True,259
False,236
True,378
True,266
True,341
True,350
False,332
True,242
True,389
False,320
False,292
True,263
True,251
False,263
True,388
True,276
True,410
False,263
True,293
True,255
True,269
True,257
True,333
True,306
True,262
True,271
False,308
True,279
True,277
True,280
True,263
True,274
True,382
True,391
True,272
False,361
False,245
False,391
True,296
False,328
True,281
False,281
True,377
True,281
False,349
True,303
True,379
True,301
False,419
True,248
True,277
True,276
True,251
True,248
False,255
False,251
False,300
True,253
False,379
True,259
True,295
True,359
True,236
False,278
True,291
True,324
False,260
True,264
True,319
False,277
True,254
True,313
True,264
True,317
True,254
True,333
True,247
True,285
True,245
True,278
True,242
True,265
True,258
True,258
True,256
True,329
True,254
True,312
False,307
True,255
True,337
False,357
False,309
True,278
False,315
True,351
False,413
True,360
True,298
True,444
False,311
False,281
False,361
True,274
True,256
True,236
False,268
True,297
True,278
True,409
False,360
True,237
True,381
False,244
False,352
True,317
True,240
True,282
False,249
False,262
True,288
True,272
False,272
True,295
True,274
False,251
True,395
True,278
True,326
True,239
True,339
True,379
True,434
False,268
True,315
True,248
True,270
True,392
True,233
False,285
True,306
False,281
True,298
True,255
True,344
True,281
True,269
True,288
False,258
True,310
True,405
True,255
True,312
True,307
True,275
True,266
True,254
True,257
True,249
True,268
True,283
True,357
False,361
True,338
True,284
False,346
True,299
True,280
True,305
True,272
True,365
True,342
True,324
True,290
True,256
True,369
False,338
False,330
True,396
True,274
True,274
